Unit,ActiveBaseline_modulation_direction,PTP_class
SUBJ-ID-389_220701_concat_cluster665,decrease,broad
SUBJ-ID-389_220701_concat_cluster733,decrease,broad
SUBJ-ID-389_220704_concat_cluster2009,decrease,broad
SUBJ-ID-389_220704_concat_cluster2549,decrease,broad
SUBJ-ID-389_220704_concat_cluster2602,none,broad
SUBJ-ID-389_220704_concat_cluster2660,none,broad
SUBJ-ID-389_220704_concat_cluster2675,none,broad
SUBJ-ID-389_220704_concat_cluster3042,increase,broad
SUBJ-ID-389_220704_concat_cluster3043,none,broad
SUBJ-ID-389_220704_concat_cluster3045,decrease,broad
SUBJ-ID-389_220705_concat_cluster1960,decrease,broad
SUBJ-ID-389_220705_concat_cluster1965,decrease,broad
SUBJ-ID-389_220705_concat_cluster2471,none,broad
SUBJ-ID-389_220705_concat_cluster2472,decrease,broad
SUBJ-ID-389_220705_concat_cluster2513,decrease,broad
SUBJ-ID-389_220705_concat_cluster2533,decrease,broad
SUBJ-ID-389_220705_concat_cluster527,none,broad
SUBJ-ID-389_220706_concat_cluster790,decrease,broad
SUBJ-ID-389_220706_concat_cluster791,decrease,broad
SUBJ-ID-389_220706_concat_cluster792,decrease,broad
SUBJ-ID-390_220620_concat_cluster3456,decrease,broad
SUBJ-ID-390_220620_concat_cluster3459,decrease,broad
SUBJ-ID-390_220620_concat_cluster3464,decrease,broad
SUBJ-ID-390_220620_concat_cluster3981,none,broad
SUBJ-ID-390_220620_concat_cluster3982,increase,broad
SUBJ-ID-390_220620_concat_cluster4020,decrease,broad
SUBJ-ID-390_220620_concat_cluster4037,none,broad
SUBJ-ID-390_220620_concat_cluster4041,decrease,broad
SUBJ-ID-390_220620_concat_cluster4042,decrease,broad
SUBJ-ID-390_220620_concat_cluster4085,decrease,broad
SUBJ-ID-390_220621_concat_cluster4318,decrease,narrow
SUBJ-ID-390_220621_concat_cluster5086,decrease,broad
SUBJ-ID-390_220621_concat_cluster5601,none,broad
SUBJ-ID-390_220621_concat_cluster5747,decrease,broad
